"","sample_size","model","coef_index","target_scale","true_value","coef_estimate","bias","rmse"
"1",200,"ks",1,"normalized",1.25,1.92256595781738,0.672565957817381,2.72112205975209
"2",200,"ks",2,"normalized",1,1,0,0
"3",200,"ks",3,"normalized",-1,-2.26124378587974,-1.26124378587974,5.55449372983519
"4",200,"ks",4,"normalized",0.625,1.10037332765742,0.475373327657418,2.66220652818644
"5",200,"ks",5,"normalized",-0.625,-1.55303535788237,-0.928035357882372,2.38763147256964
"6",200,"ols",1,"raw",1,2.6412238700982,1.6412238700982,1.67056446814489
"7",200,"ols",2,"raw",0.8,2.44063953574153,1.64063953574153,1.67107919912976
"8",200,"ols",3,"raw",-0.8,-0.328977482991198,0.471022517008802,0.488772124606325
"9",200,"ols",4,"raw",0.5,0.222718633263649,-0.277281366736351,0.312492642862303
"10",200,"ols",5,"raw",-0.5,-0.248118682152641,0.251881317847359,0.280589210960868
"11",500,"ks",1,"normalized",1.25,3.28289183249507,2.03289183249507,5.13102431175357
"12",500,"ks",2,"normalized",1,1,0,0
"13",500,"ks",3,"normalized",-1,-3.68237083735274,-2.68237083735274,6.12937787421008
"14",500,"ks",4,"normalized",0.625,2.72936213662861,2.10436213662861,4.21884765701496
"15",500,"ks",5,"normalized",-0.625,-2.43306062630982,-1.80806062630982,3.89591721894585
"16",500,"ols",1,"raw",1,2.9284374707136,1.9284374707136,1.95430953182449
"17",500,"ols",2,"raw",0.8,2.62996346772919,1.82996346772919,1.85351865235603
"18",500,"ols",3,"raw",-0.8,-0.387930152500616,0.412069847499384,0.423008345795897
"19",500,"ols",4,"raw",0.5,0.257133786734621,-0.242866213265379,0.267844874003611
"20",500,"ols",5,"raw",-0.5,-0.249908967317177,0.250091032682823,0.275954043015596
"21",1000,"ks",1,"normalized",1.25,6.61537391579174,5.36537391579174,30.900848250292
"22",1000,"ks",2,"normalized",1,1,0,0
"23",1000,"ks",3,"normalized",-1,-197.730394243375,-196.730394243375,926.292124305555
"24",1000,"ks",4,"normalized",0.625,87.124227105082,86.499227105082,422.825165383568
"25",1000,"ks",5,"normalized",-0.625,-89.3227016113879,-88.6977016113879,418.475701036129
"26",1000,"ols",1,"raw",1,3.06650400862355,2.06650400862355,2.07120919198849
"27",1000,"ols",2,"raw",0.8,2.81935853639391,2.01935853639391,2.02576552572207
"28",1000,"ols",3,"raw",-0.8,-0.389694328127743,0.410305671872257,0.414953099021573
"29",1000,"ols",4,"raw",0.5,0.240247171097984,-0.259752828902016,0.269768724439878
"30",1000,"ols",5,"raw",-0.5,-0.263640360247147,0.236359639752853,0.247101557367389
"31",2000,"ks",1,"normalized",1.25,-21.7145452231563,-22.9645452231563,102.079242853519
"32",2000,"ks",2,"normalized",1,1,0,0
"33",2000,"ks",3,"normalized",-1,222.886359567632,223.886359567632,993.565816114016
"34",2000,"ks",4,"normalized",0.625,-147.038065972029,-147.663065972029,647.470198788204
"35",2000,"ks",5,"normalized",-0.625,142.418334687944,143.043334687944,630.623952504937
"36",2000,"ols",1,"raw",1,3.10138295855075,2.10138295855075,2.10178905400712
"37",2000,"ols",2,"raw",0.8,2.87772549878002,2.07772549878002,2.07836685778123
"38",2000,"ols",3,"raw",-0.8,-0.366860188320579,0.433139811679421,0.436418050859451
"39",2000,"ols",4,"raw",0.5,0.211524163778385,-0.288475836221615,0.29421043115016
"40",2000,"ols",5,"raw",-0.5,-0.230415837654469,0.269584162345531,0.27359843964423
