n,model,coef,bias,rmse,true_beta_normalized
200,flow,0,0.19409742909209587,0.4142158857194655,0.46270645737647115
200,probit,0,0.7009092792714307,0.7380719436360123,0.46270645737647115
200,logit,0,0.6944157254140809,0.7330829842582235,0.46270645737647115
200,flow,1,0.15550977542565866,0.33949488971064273,0.37016516590117693
200,probit,1,0.540694755806176,0.5787215573624651,0.37016516590117693
200,logit,1,0.5366770722158506,0.5742502044514078,0.37016516590117693
200,flow,2,-0.1591773675153755,0.33150722643303876,-0.37016516590117693
200,probit,2,-0.5646133109440157,0.5803784883933156,-0.37016516590117693
200,logit,2,-0.5633533207861163,0.5791383282965743,-0.37016516590117693
200,flow,3,0.09200908840976375,0.20281679054505095,0.23135322868823557
200,probit,3,0.3455221582765953,0.36538632722460845,0.23135322868823557
200,logit,3,0.34454765610609994,0.36458769029849936,0.23135322868823557
200,flow,4,-0.09758778847254765,0.20990223004910544,-0.23135322868823557
200,probit,4,-0.34002376888842245,0.35806400014917183,-0.23135322868823557
200,logit,4,-0.33835143905457443,0.35637460751433103,-0.23135322868823557
500,flow,0,0.060937816524318296,0.3057508512391667,0.46270645737647115
500,probit,0,0.6818542519697709,0.6958154621228283,0.46270645737647115
500,logit,0,0.6772726284405615,0.6920109837275413,0.46270645737647115
500,flow,1,0.04761145836597388,0.2480033339206229,0.37016516590117693
500,probit,1,0.5353113423442855,0.5505407989819378,0.37016516590117693
500,logit,1,0.533026611693824,0.5484537183379865,0.37016516590117693
500,flow,2,-0.04386067819108976,0.2373519469193078,-0.37016516590117693
500,probit,2,-0.5363669150215187,0.5429372214808477,-0.37016516590117693
500,logit,2,-0.5354312583429253,0.5424424026451944,-0.37016516590117693
500,flow,3,0.02590448738941651,0.14854989117113482,0.23135322868823557
500,probit,3,0.3368815588863353,0.345174410112528,0.23135322868823557
500,logit,3,0.3363010664719247,0.3446920320495856,0.23135322868823557
500,flow,4,-0.029655626119992805,0.15126790049260408,-0.23135322868823557
500,probit,4,-0.33697145659441646,0.34496106048549174,-0.23135322868823557
500,logit,4,-0.3368495012486047,0.3446540231130245,-0.23135322868823557
1000,flow,0,-0.07177601600764404,0.21454687972788866,0.46270645737647115
1000,probit,0,0.6673335677061206,0.6743322014605043,0.46270645737647115
1000,logit,0,0.6641646062340745,0.6713637377043349,0.46270645737647115
1000,flow,1,-0.05661046792082251,0.1763970517300883,0.37016516590117693
1000,probit,1,0.5429869672426624,0.5506091398640521,0.37016516590117693
1000,logit,1,0.5420048683720848,0.549547780508667,0.37016516590117693
1000,flow,2,0.05872799141695804,0.1698607528308448,-0.37016516590117693
1000,probit,2,-0.5335242723471031,0.5369073729902165,-0.37016516590117693
1000,logit,2,-0.5359666611508127,0.5393261680112017,-0.37016516590117693
1000,flow,3,-0.037012571219600984,0.10782122101024404,0.23135322868823557
1000,probit,3,0.3357983254902876,0.33940599078599853,0.23135322868823557
1000,logit,3,0.33774808456726063,0.34134712183117727,0.23135322868823557
1000,flow,4,0.0349243432210018,0.10677578933717503,-0.23135322868823557
1000,probit,4,-0.3383178673029344,0.34184570328012626,-0.23135322868823557
1000,logit,4,-0.3394996765264767,0.3430221416109777,-0.23135322868823557
2000,flow,0,-0.12598337636204296,0.1723364842167931,0.46270645737647115
2000,probit,0,0.6731254317825011,0.6768099672765472,0.46270645737647115
2000,logit,0,0.6695429324377035,0.6732618260723389,0.46270645737647115
2000,flow,1,-0.10100711571970608,0.13816493233976918,0.37016516590117693
2000,probit,1,0.533803222923302,0.5377963098351463,0.37016516590117693
2000,logit,1,0.5322175200817324,0.5362269985506806,0.37016516590117693
2000,flow,2,0.10194546816359193,0.13662252882734321,-0.37016516590117693
2000,probit,2,-0.533935060697418,0.5357089040565122,-0.37016516590117693
2000,logit,2,-0.5341034395198768,0.5358870753502728,-0.37016516590117693
2000,flow,3,-0.06469797343363526,0.08714439483135007,0.23135322868823557
2000,probit,3,0.3319193322544751,0.33365703479984615,0.23135322868823557
2000,logit,3,0.33243452808946616,0.33420382193312625,0.23135322868823557
2000,flow,4,0.06415667674425655,0.08770150916353138,-0.23135322868823557
2000,probit,4,-0.3299271067557567,0.33163739502186845,-0.23135322868823557
2000,logit,4,-0.32954253178767323,0.3312370073546377,-0.23135322868823557
