n,model,coef,bias,rmse,true_beta_normalized
200,ols,x0,-0.54455264872102,0.549978598922102,1
200,ks,x0,-0.682450246085835,0.684209247176479,1
200,ols,x1,-0.481175500767429,0.48704998981471,0.8
200,ks,x1,-0.547569214465008,0.552085397777265,0.8
200,ols,x2,0.455136958648217,0.458036663165359,-0.8
200,ks,x2,0.565355698677808,0.574774725997508,-0.8
200,ols,x3,-0.267927392837991,0.270080886736958,0.5
200,ks,x3,-0.349357044683371,0.356465661869141,0.5
200,ols,x4,0.263616650587778,0.267762066876674,-0.5
200,ks,x4,0.357138989561604,0.362920868757368,-0.5
