sample_size,model,coef_index,true_beta_norm,coef_estimate,mean_beta_norm,bias,rmse,error_sd
200,flow,0,1.25,1.1542085555271842,1.350251150449108,0.1002511504491084,0.5042958936637992,2.1611974158950877
200,probit,0,1.25,1.1554031624761902,1.350251150449108,0.10025115044910833,0.5042958936637992,2.1611974158950877
200,logit,0,1.25,1.1500034434182562,1.3475579248520388,0.09755792485203858,0.4949294677078292,2.1611974158950877
200,flow,1,1.0,0.911252050452877,1.0,0.0,0.0,2.1611974158950877
200,probit,1,1.0,0.9120814439856877,1.0,0.0,0.0,2.1611974158950877
200,logit,1,1.0,0.9086798631769717,1.0,0.0,0.0,2.1611974158950877
200,flow,2,-1.0,-0.9205624588694141,-1.0487831520193338,-0.04878315201933382,0.22875369392140324,2.1611974158950877
200,probit,2,-1.0,-0.9215267357983654,-1.0487831520193338,-0.04878315201933383,0.22875369392140324,2.1611974158950877
200,logit,2,-1.0,-0.930447545460952,-1.0637718450631957,-0.06377184506319564,0.24377598843478676,2.1611974158950877
200,flow,3,0.625,0.5920532062572553,0.681190145429144,0.05619014542914402,0.17773169905268188,2.1611974158950877
200,probit,3,0.625,0.5926118053791251,0.681190145429144,0.05619014542914402,0.17773169905268185,2.1611974158950877
200,logit,3,0.625,0.5941954571774123,0.6858920345155242,0.06089203451552414,0.1770322038982389,2.1611974158950877
200,flow,4,-0.625,-0.57857072135034,-0.6673215623468176,-0.042321562346817734,0.18521784344986977,2.1611974158950877
200,probit,4,-0.625,-0.5791359925867166,-0.6673215623468176,-0.042321562346817755,0.18521784344986977,2.1611974158950877
200,logit,4,-0.625,-0.5816265280373111,-0.6723934631876443,-0.04739346318764416,0.19473986337105412,2.1611974158950877
500,flow,0,1.25,1.1396346170603546,1.282431636415554,0.03243163641555396,0.25655925575623995,2.1611974158950877
500,probit,0,1.25,1.1417246286635796,1.282431636415554,0.032431636415553924,0.2565592557562399,2.1611974158950877
500,logit,0,1.25,1.1363983776635067,1.2837612381697492,0.03376123816974914,0.26033813272079476,2.1611974158950877
500,flow,1,1.0,0.9137346379044337,1.0,0.0,0.0,2.1611974158950877
500,probit,1,1.0,0.9153293982918063,1.0,0.0,0.0,2.1611974158950877
500,logit,1,1.0,0.9102535790508192,1.0,0.0,0.0,2.1611974158950877
500,flow,2,-1.0,-0.8808287074813881,-0.9873153106386237,0.012684689361376405,0.16341572785103323,2.1611974158950877
500,probit,2,-1.0,-0.8824993373901553,-0.9873153106386237,0.01268468936137641,0.16341572785103323,2.1611974158950877
500,logit,2,-1.0,-0.8856957322711914,-0.9959618518061099,0.004038148193890101,0.1617623822350962,2.1611974158950877
500,flow,3,0.625,0.5612629721434294,0.629833868213183,0.0048338682131830206,0.12560977659983924,2.1611974158950877
500,probit,3,0.625,0.5623756038013205,0.629833868213183,0.004833868213183013,0.1256097765998392,2.1611974158950877
500,logit,3,0.625,0.5631592126248948,0.6335359499107386,0.00853594991073858,0.11903383932592677,2.1611974158950877
500,flow,4,-0.625,-0.5334235790776352,-0.5981183137130693,0.02688168628693082,0.10918844313977522,2.1611974158950877
500,probit,4,-0.625,-0.5344663532055466,-0.5981183137130693,0.026881686286930807,0.10918844313977522,2.1611974158950877
500,logit,4,-0.625,-0.5383724715432647,-0.6045480048239099,0.02045199517609009,0.10245573329967196,2.1611974158950877
1000,flow,0,1.25,1.137570108086598,1.3046183009468653,0.054618300946865664,0.15783209548019997,2.1611974158950877
1000,probit,0,1.25,1.13596365791425,1.3046183009468653,0.05461830094686565,0.15783209548019997,2.1611974158950877
1000,logit,0,1.25,1.132610013479665,1.3048417318267247,0.054841731826724804,0.155812430855475,2.1611974158950877
1000,flow,1,1.0,0.8812320222307362,1.0,0.0,0.0,2.1611974158950877
1000,probit,1,1.0,0.8800742345373239,1.0,0.0,0.0,2.1611974158950877
1000,logit,1,1.0,0.8770289642153097,1.0,0.0,0.0,2.1611974158950877
1000,flow,2,-1.0,-0.8902576251058225,-1.0222607536853017,-0.0222607536853019,0.11287851024112609,2.1611974158950877
1000,probit,2,-1.0,-0.8890142761988397,-1.0222607536853014,-0.022260753685301858,0.11287851024112605,2.1611974158950877
1000,logit,2,-1.0,-0.8894623967071459,-1.0260819414294176,-0.026081941429417742,0.11395072748291685,2.1611974158950877
1000,flow,3,0.625,0.5659395362427573,0.6496234407990664,0.024623440799066428,0.07798182794964237,2.1611974158950877
1000,probit,3,0.625,0.5651357753217938,0.6496234407990664,0.02462344079906642,0.07798182794964234,2.1611974158950877
1000,logit,3,0.625,0.5656927883224462,0.6521499460024645,0.027149946002464474,0.07907553950220614,2.1611974158950877
1000,flow,4,-0.625,-0.5403552435560992,-0.620863968905002,0.004136031094998183,0.07327805334926124,2.1611974158950877
1000,probit,4,-0.625,-0.5396404785239918,-0.620863968905002,0.004136031094998205,0.07327805334926125,2.1611974158950877
1000,logit,4,-0.625,-0.5395978140578431,-0.622944369667192,0.002055630332807923,0.07307400510245618,2.1611974158950877
2000,flow,0,1.25,1.1429325845850937,1.296535337089663,0.04653533708966301,0.10129627426032867,2.1611974158950877
2000,probit,0,1.25,1.143593652267146,1.296535337089663,0.046535337089663044,0.10129627426032867,2.1611974158950877
2000,logit,0,1.25,1.1367450997727304,1.2961798810337535,0.046179881033753555,0.10095917274175858,2.1611974158950877
2000,flow,1,1.0,0.8843640921615334,1.0,0.0,0.0,2.1611974158950877
2000,probit,1,1.0,0.8848370882369256,1.0,0.0,0.0,2.1611974158950877
2000,logit,1,1.0,0.8795602589151266,1.0,0.0,0.0,2.1611974158950877
2000,flow,2,-1.0,-0.9132243600857602,-1.0368639677063745,-0.03686396770637459,0.08539526003730495,2.1611974158950877
2000,probit,2,-1.0,-0.9137263347858754,-1.0368639677063745,-0.03686396770637461,0.08539526003730495,2.1611974158950877
2000,logit,2,-1.0,-0.9108244775554892,-1.0391654935402204,-0.03916549354022046,0.08298160130443526,2.1611974158950877
2000,flow,3,0.625,0.5566822697551019,0.6320145662157868,0.007014566215786821,0.052666302160443164,2.1611974158950877
2000,probit,3,0.625,0.5570297198698639,0.6320145662157868,0.007014566215786838,0.05266630216044318,2.1611974158950877
2000,logit,3,0.625,0.5560809329056025,0.634535038280654,0.009535038280653885,0.052727383438213045,2.1611974158950877
2000,flow,4,-0.625,-0.5844111815992116,-0.6643326434005703,-0.03933264340057027,0.07596517709311089,2.1611974158950877
2000,probit,4,-0.625,-0.5847023256860994,-0.6643326434005703,-0.03933264340057029,0.07596517709311089,2.1611974158950877
2000,logit,4,-0.625,-0.5805702727099529,-0.6631657266724352,-0.038165726672435216,0.07345031960491524,2.1611974158950877
