n,model,coef,bias,rmse,true_beta_normalized
200,flow,0,-0.03860419411980918,0.20711094331306068,1.0
200,probit,0,-0.03952034795975321,0.20361167741830716,1.0
200,logit,0,-0.07057018129879937,0.21602197610542326,1.0
200,flow,1,0.026077783924117925,0.15339612807788147,0.8
200,probit,1,0.026117643664028266,0.15484963377865046,0.8
200,logit,1,-0.009067900459886346,0.1552214792157828,0.8
200,flow,2,0.02417691831948423,0.08908274712081465,-0.8
200,probit,2,0.02443613953276853,0.08867905478514468,-0.8
200,logit,2,0.05919813493513933,0.10296076331512018,-0.8
200,flow,3,0.033621364742220536,0.061100739314771065,0.5
200,probit,3,0.03358563129548968,0.06206611594742122,0.5
200,logit,3,0.0127198217891915,0.04597366951640469,0.5
200,flow,4,-0.052635457975840995,0.10762701359113651,-0.5
200,probit,4,-0.05249152096469313,0.1073988244330845,-0.5
200,logit,4,-0.026353917137551607,0.10407938193923069,-0.5
500,flow,0,0.04665148580426444,0.10629265076438625,1.0
500,probit,0,0.047443665246561496,0.10636937186075002,1.0
500,logit,0,-0.0014404655816177892,0.09164925620643669,1.0
500,flow,1,-0.00880184197749414,0.0692359943391398,0.8
500,probit,1,-0.00816175589700896,0.06934874736284406,0.8
500,logit,1,-0.03474918025574767,0.07103929788256907,0.8
500,flow,2,-0.03842346223601312,0.0664243539553168,-0.8
500,probit,2,-0.03911455928136034,0.06711675050198859,-0.8
500,logit,2,0.006721732904841215,0.05778729486089899,-0.8
500,flow,3,-0.013172206767094153,0.06438599607720856,0.5
500,probit,3,-0.01282502265943738,0.06411446521589327,0.5
500,logit,3,-0.037303257704711004,0.06860339332268328,0.5
500,flow,4,0.03506131722233861,0.0519936831425338,-0.5
500,probit,4,0.03466162607888227,0.05198202921589862,-0.5
500,logit,4,0.05348468435034872,0.06446454328480283,-0.5
