"responseid","manip","num_reason","reason"
"R_3Gr2hNqOfm5FKGh",5,1,"They allowed it to spread"
"R_3Gr2hNqOfm5FKGh",5,2,"They target low incomes with less help"
"R_AbrLycGhEYdRnVL",4,1,"The government could have provided universal basic income"
"R_AbrLycGhEYdRnVL",4,2,"The government could have funded healthcare in poorer areas better"
"R_2TBILPmL2R1BLTb",3,1,"This is the market"
"R_2TBILPmL2R1BLTb",3,2,"Businesses are responsible"
"R_25FocLXbCJicbdo",5,1,"Creating rules they did not follow."
"R_25FocLXbCJicbdo",5,2,"Creating rules that did not seem efficient or effective."
"R_2VwGaiz2v8VecDx",4,1,"The rich profiteered on products that people would need"
"R_2VwGaiz2v8VecDx",4,2,"The prices rose during the pandemic, but never came back down"
"R_1r1htiowZxqu6X5",4,1,"Not enough support for households that were not able to claim furlough"
"R_1r1htiowZxqu6X5",4,2,"No scheme to encourage re-employment for those who lost their jobs or unable to work as a result of the pandemic"
"R_uqTqKxro9KWNezT",5,1,"Businesses were given far more support than individuals during this time."
"R_uqTqKxro9KWNezT",5,2,"Some businesses were given bailouts or handouts that resulted in privatised profits and socialised losses"
"R_323oIgZEGlsEUET",2,1,"Pandemic was unprecedented"
"R_323oIgZEGlsEUET",2,2,"Government introduced as much help as possible given burden on governmental finances"
"R_1hXxHwoQhWYPbXS",4,1,"The UK government support the rich."
"R_1hXxHwoQhWYPbXS",4,2,"It is aginst their ideology to support poorer."
"R_3EX8PrePm1mHmxz",1,1,"The government did everything they could under these unparalleled circumstance"
"R_3EX8PrePm1mHmxz",1,2,"It is impossible to make a 'one size fits all' rule after something only occurring once. There needs to be a trend and pattern before such rules are instigated."
"R_1GU1gsmWPIMehZz",4,1,"No support for poor"
"R_1GU1gsmWPIMehZz",4,2,"Making it more difficult for businesses to survive"
"R_26390eQR1FiHfJF",5,1,"The government closed small businesses which generally include lower income employees"
"R_26390eQR1FiHfJF",5,2,"Government recording guidelines of people who died ""with"" not differentiating those who did ""of"". People with no co-morbidities had an over 99% survival rate."
