"","coef","se"
"Xphq9",-0.092686531527505,0.00701263453659692
"Xmisperceptionssum12",0.71031173023657,0.166565648800715
"Xphq9_fn",-0.062458465476448,0.0124615366270336
"Xanypolactive",0.21767988217932,0.0332456120386932
"Xdem",0.0795109108699254,0.0342173441079199
"Xrep",0.00623765829212486,0.0641656979123921
"Xind",0.015075030370299,0.0324978870544832
"Xlibcon",-0.0195529954546481,0.0100670695031497
"Xinterest",-0.0337022324025952,0.0039740108581674
"Xblack",0.322896887246859,0.0831955338191286
"Xwhite",0.0309915131460787,0.0119112778503355
"Xasian",0.279844828758528,0.0593445143735685
"Xhispanic",0.246246650832654,0.0728070668166073
"Xincome_r",0.00116394808555479,0.00196409768901356
"Xedu_r",-0.0602182485796103,0.0101069478959263
"Xage",0.00115621742999704,0.00448861928605028
"Xel_conf",-0.0292419254209528,0.00307801918139439
"Xmale",0.187184590711659,0.0257074979731435
"Xtrumpsupporter",-0.0575245909818788,0.0440687258960676
