"","coef","se"
"Xphq9",-2.7308467892982e-06,0.00100999196879029
"Xmisperceptionssum12",0.377408461386625,0.0180175051456491
"Xphq9_fn",0.00569536888771107,0.00163347461866841
"Xanypolactive",0.122828163052458,0.00500027116345258
"Xdem",0.0401845558402467,0.0070511332739636
"Xrep",0.0237391356407111,0.00860905716750176
"Xind",0.01511361518272,0.00646502643150405
"Xlibcon",-0.00681441229963582,0.0015044863140084
"Xinterest",-0.0191162348959695,0.00220907186396556
"Xblack",0.154800473100613,0.00863343279266974
"Xwhite",0.0224164284842142,0.00722308403522675
"Xasian",0.148200127339467,0.0102265229282543
"Xhispanic",0.124699587529639,0.00972752088153366
"Xincome_r",-0.00590450502958937,0.00103572391489491
"Xedu_r",-0.0283882090650766,0.00228142014017099
"Xage",-0.00234357797958299,0.000314743327206348
"Xel_conf",-0.0133714926981056,0.00224370012907875
"Xmale",0.0994887442520511,0.00414410960345307
"Xtrumpsupporter",-0.0383290834896304,0.00618651499960754
